current_step:50  loss: tensor(4.5847, device='cuda:0', grad_fn=<AddBackward0>)
current_step:6100  loss: tensor(4.5097, device='cuda:0', grad_fn=<AddBackward0>)
current_step:6200  loss: tensor(4.5089, device='cuda:0', grad_fn=<AddBackward0>)
current_step:6300  loss: tensor(4.5064, device='cuda:0', grad_fn=<AddBackward0>)
current_step:7200  loss: tensor(4.5062, device='cuda:0', grad_fn=<AddBackward0>)
current_step:7850  loss: tensor(4.5055, device='cuda:0', grad_fn=<AddBackward0>)
current_step:7950  loss: tensor(4.5051, device='cuda:0', grad_fn=<AddBackward0>)
current_step:8100  loss: tensor(4.5046, device='cuda:0', grad_fn=<AddBackward0>)
current_step:8150  loss: tensor(4.5040, device='cuda:0', grad_fn=<AddBackward0>)
current_step:8900  loss: tensor(4.5027, device='cuda:0', grad_fn=<AddBackward0>)
current_step:9050  loss: tensor(4.5025, device='cuda:0', grad_fn=<AddBackward0>)
current_step:9400  loss: tensor(4.5023, device='cuda:0', grad_fn=<AddBackward0>)
current_step:9450  loss: tensor(4.5019, device='cuda:0', grad_fn=<AddBackward0>)
current_step:9750  loss: tensor(4.5008, device='cuda:0', grad_fn=<AddBackward0>)
current_step:9950  loss: tensor(4.5005, device='cuda:0', grad_fn=<AddBackward0>)
